股票代碼,公司名稱,市場別,StockBoss 產業別,Goodinfo 產業別,FinMind 產業別,市值,EPS 分數,自由現金流 分數,現金股利 分數,股息支付率 分數,淨利率 分數,LT-Debt/Equity 分數,利息保障倍數 分數,ROE 分數,ROIC 分數,非獨立董監持股 分數,五年含息總報酬,總分,加權總分,排名池滿分,實際可評滿分,排名,排名模式,ROE／ROIC 標籤,高風險警示,資料完整狀態,最後更新時間,備註
2330,台積電,twse,,,電子工業,61848702609795.0,0.5,1,2.0,2.0,2.0,1.0,2.0,2.0,1.0,N/A,,13.5,13.5,16,15.0,2,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2454,聯發科,twse,,,電子工業,7109940075590.0,0.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,N/A,,10.0,10.0,16,15.0,11,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2308,台達電,twse,,,電子零組件業,4337897359430.0,2.0,1,1.0,2.0,0.0,1.0,2.0,1.0,1.0,N/A,,11.0,11.0,16,15.0,7,一般產業排名,高 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2317,鴻海,twse,,,電子工業,3458061886309.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,N/A,,7.0,7.0,16,15.0,19,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
3711,日月光投控,twse,,,電子工業,2646578790944.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,N/A,,3.0,3.0,16,15.0,35,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2881,富邦金,twse,,,金融保險,2115112107752.0,0.0,N/A,1.0,1.0,N/A,N/A,N/A,0.0,N/A,N/A,,2.0,2.0,9,8.0,8,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2383,台光電,twse,,,電子零組件業,1832812498110.0,0.5,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,N/A,,10.5,10.5,16,15.0,9,一般產業排名,高 ROE 及 ROIC,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
1303,南亞,twse,,,塑膠工業,1756676981963.5,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,N/A,,4.0,4.0,16,15.0,31,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2303,聯電,twse,,,電子工業,1740958005011.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,N/A,,7.0,7.0,16,15.0,19,一般產業排名,,,部分缺漏（可評 15/16）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
2882,國泰金,twse,,,金融保險,1613613114080.0,0.0,N/A,1.0,2.0,N/A,N/A,N/A,0.0,N/A,N/A,,3.0,3.0,9,8.0,3,金融業排名,,,部分缺漏（可評 8/9）,2026-09-15T07:49:49+00:00,缺漏因子：非獨立董監持股（其餘照常加總，不按比例放大）
